Episode,Success,Collision,Mean Success,Mean Collision,Rolling Mean Success,Rolling Mean Collision
416,7,8,8.839328537,6.160671463,9.308724832,5.691275168
417,9,6,8.839712919,6.160287081,9.308724832,5.691275168
418,11,4,8.844868735,6.155131265,9.308724832,5.691275168
419,9,6,8.845238095,6.154761905,9.322147651,5.677852349
420,9,6,8.845605701,6.154394299,9.33557047,5.66442953
421,8,7,8.843601896,6.156398104,9.32885906,5.67114094
422,11,4,8.848699764,6.151300236,9.369127517,5.630872483
423,9,6,8.849056604,6.150943396,9.369127517,5.630872483
424,9,6,8.849411765,6.150588235,9.375838926,5.624161074
425,11,4,8.854460094,6.145539906,9.389261745,5.610738255
426,9,6,8.854800937,6.145199063,9.362416107,5.637583893
427,7,8,8.85046729,6.14953271,9.348993289,5.651006711
428,9,6,8.850815851,6.149184149,9.375838926,5.624161074
429,10,5,8.853488372,6.146511628,9.369127517,5.630872483
430,7,8,8.849187935,6.150812065,9.355704698,5.644295302
431,11,4,8.854166667,6.145833333,9.342281879,5.657718121
432,7,8,8.849884527,6.150115473,9.342281879,5.657718121
433,7,8,8.84562212,6.15437788,9.315436242,5.684563758
434,9,6,8.845977011,6.154022989,9.33557047,5.66442953
435,7,8,8.841743119,6.158256881,9.322147651,5.677852349
436,5,10,8.832951945,6.167048055,9.322147651,5.677852349
437,11,4,8.837899543,6.162100457,9.348993289,5.651006711
438,9,6,8.838268793,6.161731207,9.33557047,5.66442953
439,9,6,8.838636364,6.161363636,9.308724832,5.691275168
440,7,8,8.83446712,6.16553288,9.281879195,5.718120805
441,7,8,8.830316742,6.169683258,9.255033557,5.744966443
442,7,8,8.826185102,6.173814898,9.241610738,5.758389262
443,11,4,8.831081081,6.168918919,9.268456376,5.731543624
444,7,8,8.826966292,6.173033708,9.255033557,5.744966443
445,11,4,8.831838565,6.168161435,9.268456376,5.731543624
446,11,4,8.836689038,6.163310962,9.255033557,5.744966443
447,13,2,8.845982143,6.154017857,9.281879195,5.718120805
448,7,8,8.841870824,6.158129176,9.268456376,5.731543624
449,9,6,8.842222222,6.157777778,9.268456376,5.731543624
450,11,4,8.847006652,6.152993348,9.268456376,5.731543624
451,9,6,8.847345133,6.152654867,9.281879195,5.718120805
452,7,8,8.843267108,6.156732892,9.255033557,5.744966443
453,9,6,8.843612335,6.156387665,9.255033557,5.744966443
454,9,6,8.843956044,6.156043956,9.241610738,5.758389262
455,13,2,8.853070175,6.146929825,9.288590604,5.711409396
456,9,6,8.853391685,6.146608315,9.275167785,5.724832215
457,11,4,8.858078603,6.141921397,9.302013423,5.697986577
458,9,6,8.8583878,6.1416122,9.288590604,5.711409396
459,8,7,8.856521739,6.143478261,9.255033557,5.744966443
460,9,6,8.856832972,6.143167028,9.255033557,5.744966443
461,13,2,8.865800866,6.134199134,9.281879195,5.718120805
462,9,6,8.866090713,6.133909287,9.308724832,5.691275168
463,7,8,8.862068966,6.137931034,9.308724832,5.691275168
464,7,8,8.858064516,6.141935484,9.308724832,5.691275168
