Episode,,,Mean Success,Mean Collision,Rolling Mean Success,Rolling Mean Collision
302,13,2,13.33663,1.663366337,13.0738255,1.926174497
303,13,2,13.33553,1.664473684,13.06040268,1.939597315
304,12,3,13.33115,1.668852459,13.05369128,1.946308725
305,13,2,13.33007,1.669934641,13.04697987,1.953020134
306,14,1,13.33225,1.667752443,13.05369128,1.946308725
307,11,4,13.32468,1.675324675,13.04026846,1.959731544
308,15,0,13.3301,1.669902913,13.04026846,1.959731544
309,13,2,13.32903,1.670967742,13.04026846,1.959731544
310,13,2,13.32797,1.672025723,13.05369128,1.946308725
311,10,5,13.31731,1.682692308,13.02013423,1.979865772
312,11,4,13.3099,1.690095847,13.00671141,1.993288591
313,11,4,13.30255,1.697452229,12.97986577,2.020134228
314,10,5,13.29206,1.707936508,12.95973154,2.040268456
315,11,4,13.28481,1.715189873,12.94630872,2.053691275
316,11,4,13.2776,1.722397476,12.93288591,2.067114094
317,11,4,13.27044,1.729559748,12.91946309,2.080536913
318,11,4,13.26332,1.736677116,12.91946309,2.080536913
319,13,2,13.2625,1.7375,12.91275168,2.087248322
320,11,4,13.25545,1.744548287,12.89261745,2.10738255
321,13,2,13.25466,1.745341615,12.87919463,2.120805369
322,12,3,13.25077,1.749226006,12.87248322,2.127516779
323,15,0,13.25617,1.74382716,12.87248322,2.127516779
324,11,4,13.24923,1.750769231,12.8590604,2.140939597
325,10,5,13.23926,1.760736196,12.85234899,2.147651007
326,10,5,13.22936,1.770642202,12.81879195,2.181208054
327,15,0,13.23476,1.765243902,12.81879195,2.181208054
328,9,6,13.22188,1.778115502,12.77852349,2.22147651
329,11,4,13.21515,1.784848485,12.76510067,2.234899329
330,13,2,13.2145,1.785498489,12.76510067,2.234899329
331,11,4,13.20783,1.792168675,12.73825503,2.261744966
332,11,4,13.2012,1.798798799,12.7114094,2.288590604
333,12,3,13.1976,1.80239521,12.70469799,2.295302013
334,13,2,13.19701,1.802985075,12.71812081,2.281879195
335,11,4,13.19048,1.80952381,12.69127517,2.308724832
336,11,4,13.18398,1.816023739,12.66442953,2.33557047
337,9,6,13.1716,1.828402367,12.62416107,2.375838926
338,7,8,13.15339,1.84660767,12.57718121,2.422818792
339,7,8,13.13529,1.864705882,12.53020134,2.469798658
340,11,4,13.12903,1.870967742,12.51677852,2.483221477
341,13,2,13.12865,1.871345029,12.5033557,2.496644295
342,9,6,13.11662,1.883381924,12.46308725,2.536912752
343,15,0,13.12209,1.877906977,12.46308725,2.536912752
344,8,7,13.10725,1.892753623,12.45637584,2.543624161
345,14,1,13.10983,1.89017341,12.44966443,2.55033557
346,7,8,13.09222,1.90778098,12.39597315,2.604026846
347,15,0,13.0977,1.902298851,12.40939597,2.590604027
348,11,4,13.09169,1.908309456,12.39597315,2.604026846
349,14,1,13.09429,1.905714286,12.40268456,2.597315436
350,13,2,13.09402,1.905982906,12.38926174,2.610738255
351,15,0,13.09943,1.900568182,12.39597315,2.604026846
352,15,0,13.10482,1.895184136,12.39597315,2.604026846
353,11,4,13.09887,1.901129944,12.36912752,2.630872483
354,13,2,13.09859,1.901408451,12.3557047,2.644295302
355,12,3,13.09551,1.904494382,12.34899329,2.651006711
356,15,0,13.10084,1.899159664,12.34899329,2.651006711
357,15,0,13.10615,1.893854749,12.36241611,2.637583893
358,15,0,13.11142,1.888579387,12.37583893,2.624161074
359,13,2,13.11111,1.888888889,12.36241611,2.637583893
360,14,1,13.11357,1.886426593,12.3557047,2.644295302
361,12,3,13.1105,1.889502762,12.33557047,2.66442953
362,15,0,13.1157,1.884297521,12.34899329,2.651006711
363,13,2,13.11538,1.884615385,12.34899329,2.651006711
364,14,1,13.11781,1.882191781,12.3557047,2.644295302
365,15,0,13.12295,1.87704918,12.36912752,2.630872483
366,13,2,13.12262,1.877384196,12.3557047,2.644295302
367,15,0,13.12772,1.872282609,12.3557047,2.644295302
368,15,0,13.13279,1.867208672,12.36912752,2.630872483
369,10,5,13.12432,1.875675676,12.34899329,2.651006711
370,15,0,13.12938,1.870619946,12.34899329,2.651006711
371,9,6,13.11828,1.88172043,12.31543624,2.684563758
372,15,0,13.12332,1.876675603,12.32885906,2.67114094
373,15,0,13.12834,1.871657754,12.33557047,2.66442953
374,15,0,13.13333,1.866666667,12.34899329,2.651006711
375,15,0,13.1383,1.861702128,12.3557047,2.644295302
376,11,4,13.13263,1.867374005,12.34899329,2.651006711
