Episode,Success,Collision,Suc Mean,Col Mean,Log Suc Mean,Log Col Mean,Std Dev,150 rolling Mean Suc,150 rolling Mean Col,Log Suc Roll Mean,Log Col Roll Mean,Total Success,Total Collision
180,2,6,1.900552486,6.099447514,0.642144626,1.808198196,0.435546405,2.133333333,5.866666667,0.757685702,1.769286613,344,1104
181,4,4,1.912087912,6.087912088,0.648195793,1.80630518,0.43666899,2.133333333,5.866666667,0.757685702,1.769286613,348,1108
182,4,4,1.923497268,6.076502732,0.654145023,1.804429322,0.437837857,2.133333333,5.866666667,0.757685702,1.769286613,352,1112
183,2,6,1.923913043,6.076086957,0.654361156,1.804360896,0.438968681,2.133333333,5.866666667,0.757685702,1.769286613,354,1118
184,4,4,1.935135135,6.064864865,0.660177161,1.802512261,0.440143972,2.133333333,5.866666667,0.757685702,1.769286613,358,1122
185,2,6,1.935483871,6.064516129,0.660357358,1.802454758,0.441281017,2.146666667,5.853333333,0.763916251,1.7670113,360,1128
186,0,8,1.92513369,6.07486631,0.654995415,1.804159982,0.442302568,2.133333333,5.866666667,0.757685702,1.769286613,360,1136
187,2,6,1.925531915,6.074468085,0.655202249,1.804094427,0.443290592,2.133333333,5.866666667,0.757685702,1.769286613,362,1142
188,2,6,1.925925926,6.074074074,0.655406853,1.804029562,0.444246099,2.133333333,5.866666667,0.757685702,1.769286613,364,1148
189,4,4,1.936842105,6.063157895,0.661058866,1.802230769,0.445244505,2.16,5.84,0.770108222,1.764730797,368,1152
190,4,4,1.947643979,6.052356021,0.666620426,1.800447621,0.446284527,2.173333333,5.826666667,0.776262087,1.762445082,372,1156
191,4,4,1.958333333,6.041666667,0.672093771,1.798679912,0.447364887,2.2,5.8,0.78845736,1.757857918,376,1160
192,2,6,1.958549223,6.041450777,0.672204007,1.798644178,0.448410003,2.2,5.8,0.78845736,1.757857918,378,1166
193,2,6,1.958762887,6.041237113,0.672313094,1.798608811,0.449420938,2.2,5.8,0.78845736,1.757857918,380,1172
194,2,6,1.958974359,6.041025641,0.67242105,1.798573806,0.450398717,2.213333333,5.786666667,0.794499675,1.755556421,382,1178
195,4,4,1.969387755,6.030612245,0.67772271,1.796848539,0.451414888,2.226666667,5.773333333,0.800505699,1.753249614,386,1182
196,6,2,1.989847716,6.010152284,0.688058111,1.793450087,0.45253992,2.266666667,5.733333333,0.818310324,1.746297095,392,1184
197,2,6,1.98989899,6.01010101,0.688083879,1.793441555,0.453628478,2.266666667,5.733333333,0.818310324,1.746297095,394,1190
198,2,6,1.989949749,6.010050251,0.688109387,1.79343311,0.45468166,2.28,5.72,0.824175443,1.743968805,396,1196
199,2,6,1.99,6.01,0.688134639,1.793424749,0.455700525,2.28,5.72,0.824175443,1.743968805,398,1202
200,4,4,2,6,0.693147181,1.791759469,0.456754011,2.306666667,5.693333333,0.835803481,1.7392959,402,1206
201,2,6,2,6,0.693147181,1.791759469,0.457773216,2.306666667,5.693333333,0.835803481,1.7392959,404,1212
202,0,8,1.990147783,6.009852217,0.688208899,1.793400159,0.458693512,2.28,5.72,0.824175443,1.743968805,404,1220
203,2,6,1.990196078,6.009803922,0.688233166,1.793392123,0.459583377,2.28,5.72,0.824175443,1.743968805,406,1226
204,0,8,1.980487805,6.019512195,0.68334318,1.795006225,0.460381174,2.28,5.72,0.824175443,1.743968805,406,1234
205,4,4,1.990291262,6.009708738,0.688280991,1.793376284,0.461213493,2.306666667,5.693333333,0.835803481,1.7392959,410,1238
206,4,4,2,6,0.693147181,1.791759469,0.46207939,2.333333333,5.666666667,0.84729786,1.734601055,414,1242
207,2,6,2,6,0.693147181,1.791759469,0.462916481,2.32,5.68,0.841567186,1.736951233,416,1248
208,4,4,2.009569378,5.990430622,0.697920459,1.7901633,0.463786042,2.346666667,5.653333333,0.852995882,1.732245342,420,1252
